version,config_sn_list,M Sub line,C Sub lineinput time,FCM Sub line,FCM Sub lineinput time,HSG Sub line,HSG Sub lineinput time,Main Line,Main Lineinput time,COMPONENT_1,COMPONENT_1_Vender_Code,COMPONENT_1_Vender_DC,COMPONENT_2,COMPONENT_2_Vender_Code,COMPONENT_2_Vender_DC
1,BLUE,SMKA_FBLUE0-2FH-04,20250320,SMKA_FBLUE0-1FAP-54,20250320,SMKA_FBLUE0-2FH-07,20250320,SMKA_FBLUE0-2FA-01,20250322,DLRHD9608920000PWY,MONITOR,DH96,HVWHD7000DX0000U14,ZEUS,X170
2,BLUE,SMKA_FBLUE0-2FH-04,20250320,SMKA_FBLUE0-1FAP-54,20250320,SMKA_FBLUE0-2FH-07,20250320,SMKA_FBLUE0-2FA-01,20250322,DLRHD9606L70000PWY,MONITOR,DH96,HVWHD80002Q0000U14,ZEUS,X180
3,BLUE,SMKA_FBLUE0-2FH-04,20250320,SMKA_FBLUE0-1FAP-54,20250320,SMKA_FBLUE0-2FH-07,20250320,SMKA_FBLUE0-2FA-01,20250322,DLRHD9608YE0000PWY,MONITOR,DH96,HVWHD80000H0000U14,ZEUS,X180
4,PINK,SMKA_FBLUE0-2FH-05,20250320,SMKA_FBLUE0-1FAP-55,20250320,SMKA_FBLUE0-2FH-08,20250320,SMKA_FBLUE0-2FA-02,20250322,DLRHD850WCB0000PX0,MONITOR,DH85,HVWHD6000080000U11,ZEUS,X160
5,PINK,SMKA_FBLUE0-2FH-05,20250320,SMKA_FBLUE0-1FAP-55,20250320,SMKA_FBLUE0-2FH-08,20250320,SMKA_FBLUE0-2FA-02,20250322,DLRHD850UTW0000PX0,MONITOR,DH85,HVWHD4000F50000U11,THOR,X140
6,PINK,SMKA_FBLUE0-2FH-05,20250320,SMKA_FBLUE0-1FAP-55,20250320,SMKA_FBLUE0-2FH-08,20250320,SMKA_FBLUE0-2FA-02,20250322,DLRHD850X950000PX0,MONITOR,DH85,HVWHD4000AW0000U11,THOR,X140
7,PINK,SMKA_FBLUE0-2FH-05,20250320,SMKA_FBLUE0-1FAP-55,20250320,SMKA_FBLUE0-2FH-08,20250320,SMKA_FBLUE0-2FA-02,20250322,DLRHD850WER0000PX0,MONITOR,DH85,HVWHCY000JM0000U11,THOR,ZCY0
8,GREEN,SMKA_FBLUE0-2FH-04,20250321,SMKA_FBLUE0-1FAP-54,20250321,SMKA_FBLUE0-2FH-07,20250321,SMKA_FBLUE0-2FA-01,20250324,GQ1HDA204M40000PWT,DESKTOP,DHA2,HVWHD30009W0000U14,THOR,X130
9,GREEN,SMKA_FBLUE0-2FH-04,20250321,SMKA_FBLUE0-1FAP-54,20250321,SMKA_FBLUE0-2FH-07,20250321,SMKA_FBLUE0-2FA-01,20250324,GQ1HDA203FBLUE0000PWT,DESKTOP,DTA2,HVWHD3000C80000U14,ZEUS,X130
10,GREEN,SMKA_FBLUE0-2FH-04,20250321,SMKA_FBLUE0-1FAP-54,20250321,SMKA_FBLUE0-2FH-07,20250321,SMKA_FBLUE0-2FA-01,20250324,GQ1HDA204NF0000PWT,DESKTOP,DTA2,HVWHD4000010000U14,ZEUS,X140
11,GREEN,SMKA_FBLUE0-2FH-04,20250321,SMKA_FBLUE0-1FAP-54,20250321,SMKA_FBLUE0-2FH-07,20250321,SMKA_FBLUE0-2FA-01,20250324,GQ1HDA207TK0000PWT,DESKTOP,DTA2,HVWHD40008Z0000U14,ZEUS,X140
12,ORANGE,SMKA_FBLUE0-2FH-05,20250321,SMKA_FBLUE0-1FAP-55,20250321,SMKA_FBLUE0-2FH-08,20250321,SMKA_FBLUE0-2FA-02,20250324,DLRHD850XPC0000PX0,MONITOR,DT85,HVWHD5000EA0000U11,ZEUS,ZD50
13,ORANGE,SMKA_FBLUE0-2FH-05,20250321,SMKA_FBLUE0-1FAP-55,20250321,SMKA_FBLUE0-2FH-08,20250321,SMKA_FBLUE0-2FA-02,20250324,DLRHD850WE80000PX0,MONITOR,DT85,HVWHD6000420000U11,THOR,ZD60
14,ORANGE,SMKA_FBLUE0-2FH-05,20250321,SMKA_FBLUE0-1FAP-55,20250321,SMKA_FBLUE0-2FH-08,20250321,SMKA_FBLUE0-2FA-02,20250324,DLRHD850YZV0000PX0,MONITOR,DT85,HVWHD6000550000U11,THOR,ZD60
15,ORANGE,SMKA_FBLUE0-2FH-05,20250321,SMKA_FBLUE0-1FAP-55,20250321,SMKA_FBLUE0-2FH-08,20250321,SMKA_FBLUE0-2FA-02,20250324,DLRHD850X8A0000PX0,MONITOR,DT85,HVWHD60002W0000U11,THOR,ZD60
16,BLUE,SMKA_FBLUE0-2FH-04,20250320,SMKA_FBLUE0-1FAP-54,20250320,SMKA_FBLUE0-2FH-07,20250320,SMKA_FBLUE0-2FA-01,20250322,DLRHD96072F0000PWY,MONITOR,DT96,HVWHD7000C60000U14,THOR,ZD70
17,BLUE,SMKA_FBLUE0-2FH-04,20250321,SMKA_FBLUE0-1FAP-54,20250321,SMKA_FBLUE0-2FH-07,20250321,SMKA_FBLUE0-2FA-01,20250324,DLRHD9605V50000PWY,MONITOR,DT96,HVWHD0000BU0000U15,ZEUS,ZD00
18,BLUE,SMKA_FBLUE0-2FH-04,20250321,SMKA_FBLUE0-1FAP-54,20250321,SMKA_FBLUE0-2FH-07,20250321,SMKA_FBLUE0-2FA-01,20250324,DLRHD960BHM0000PWY,MONITOR,DT96,HVWHD0000930000U15,ZEUS,ZD00
19,BLUE,SMKA_FBLUE0-2FH-04,20250321,SMKA_FBLUE0-1FAP-54,20250321,SMKA_FBLUE0-2FH-07,20250321,SMKA_FBLUE0-2FA-01,20250324,DLRHD9606LF0000PWY,MONITOR,DT96,HVWHD00002U0000U15,ZEUS,ZD00
